Actual,Predicted_Mean,Predicted_Std
21.89,24.39933,7.9134326
20.96498481,10.806477,2.6882215
12.75,23.356524,12.433995
55.55,64.32983,5.4330764
59.7182,53.87795,6.2527204
73.6,36.8043,2.801452
3.788985641,12.071471,6.225162
8.215,79.75313,30.283716
1.571945366,7.253771,2.6643794
2.485230451,2.2700663,1.5967963
15.16057492,15.711509,4.5877786
52.645,44.747593,11.018101
63.675,39.07734,19.984583
7.49,49.26596,16.350018
37.8,65.09179,3.9258263
95.685,62.2176,10.641395
23.505,33.407455,16.552284
45.75,37.545204,2.426585
83.055,56.741676,16.698214
63.05,47.980133,9.396923
7.19,28.821932,23.869726
8.935,20.636284,8.124596
39.58,46.006195,7.249769
9.59,14.167364,2.2660336
79.72,54.365143,24.181574
1.908529128,6.884314,2.584322
96.835,84.267334,6.9163065
37.55,62.515434,10.412549
59.255,47.980133,9.396923
21.75,47.78233,12.643272
92.44,30.228395,10.98979
46.22,26.59577,11.462504
108.55,83.61484,29.885632
43.757,34.1119,4.3024573
0.355422042,2.9564342,2.6008434
1.386613973,17.495886,7.9169965
65.565,56.238873,6.0796547
2.604428236,8.736615,7.3618617
96.6,51.723392,11.393674
64.405,51.561157,13.393059
79.31,70.40253,9.746466
63.135,61.32823,25.15139
17.52138703,9.586498,4.287626
4.815466985,5.159088,3.4994636
16.11548873,9.008342,2.6837695
85.07,76.870834,6.9481826
26.875,32.409508,6.641391
1.85,7.5105577,15.987361
1.230528098,11.44759,7.1453786
6.35,12.8359995,17.637981
30.221,33.06541,4.3490305
15.00853873,23.644554,4.4199514
3.801316644,4.261869,3.6290028
6.885580209,21.938799,8.455083
64.56,56.238873,6.0796547
63.905,31.548634,10.936259
11.97449637,16.935492,7.425697
27.68,30.50395,9.587431
3.502514048,6.395247,4.969107
88.365,42.852673,8.8712845
6.596411749,17.126068,3.3676062
10.76981374,12.821978,5.063556
36.75,44.268524,10.003215
115.215,98.31656,23.675093
17.63343564,8.930857,5.2103696
49.1714,38.151577,11.382879
7.828550021,16.81726,6.5909524
16.403,17.032194,23.025476
104.455,36.76299,9.900081
15.69904428,9.852685,3.0063298
2.796381579,8.931215,4.80137
36.8104,37.790688,3.1674232
2.960298483,8.910002,5.0652146
8.41451075,11.282071,3.4743075
60.8556,55.18395,10.05488
2.35,7.5105577,15.987361
